unit: [ms]

reproducible results only

n = 100

manual implementation

0.0150000000	0.0060000000	0.0050000000	
0.0110000000	0.0080000000	0.0080000000	
0.0950000000	0.0580000000	0.0510000000	
0.2170000000	0.1780000000	0.1140000000	
4.4790000000	0.4450000000	0.3450000000	
0.8120000000	0.8510000000	0.7630000000	
4.1560000000	2.1980000000	1.8710000000	
3.7330000000	4.3790000000	3.8380000000	
7.7110000000	7.1540000000	6.7060000000	

optimized ReproBLAS implementation

0.0190000000	0.0000000000	0.0000000000	
0.0030000000	0.0030000000	0.0030000000	
0.0740000000	0.0460000000	0.0100000000	
0.1090000000	0.0840000000	0.0830000000	
0.2790000000	0.1410000000	0.2150000000	
0.4100000000	0.6540000000	0.5150000000	
1.0280000000	2.4850000000	1.2800000000	
2.2990000000	3.5090000000	2.9370000000	
5.5030000000	6.0330000000	6.0660000000	

n = 1000

manual implementation

0.0500000000	0.0480000000	0.0480000000	
0.0500000000	0.0260000000	0.0250000000	
0.0700000000	0.0630000000	0.0870000000	
0.1480000000	0.2890000000	0.2090000000	
0.2950000000	0.2760000000	0.2660000000	
0.6140000000	0.7570000000	0.9650000000	
1.5290000000	1.6870000000	1.7750000000	
3.4690000000	3.4810000000	3.3900000000	
7.5510000000	7.4370000000	6.4230000000	

optimized ReproBLAS implementation

0.0020000000	0.0000000000	0.0000000000	
0.0040000000	0.0030000000	0.0030000000	
0.0260000000	0.0240000000	0.0230000000	
0.0820000000	0.0930000000	0.0810000000	
0.2360000000	0.2940000000	0.1820000000	
0.5990000000	0.4940000000	0.5040000000	
1.2440000000	1.6490000000	1.6090000000	
3.3380000000	2.9510000000	3.0110000000	
5.4840000000	12.6280000000	4.8580000000	

n = 10000

manual implementation

0.4400000000	0.4830000000	0.4910000000	
0.3950000000	0.2620000000	0.2370000000	
0.3970000000	0.1850000000	0.1840000000	
0.2770000000	0.2540000000	0.2170000000	
0.4800000000	0.7030000000	0.4660000000	
0.7820000000	0.8960000000	0.7280000000	
1.4880000000	1.4420000000	1.4930000000	
3.8340000000	3.2300000000	3.6190000000	
6.8970000000	6.5030000000	6.7680000000	

optimized ReproBLAS implementation

0.0070000000	0.0040000000	0.0040000000	
0.0160000000	0.0080000000	0.0070000000	
0.0390000000	0.0700000000	0.0320000000	
0.1050000000	0.0890000000	0.0850000000	
0.2560000000	0.2830000000	0.3650000000	
0.5700000000	0.6190000000	0.5790000000	
1.1020000000	1.1860000000	1.1660000000	
2.6910000000	2.7560000000	4.0920000000	
5.8180000000	5.6970000000	5.7360000000	

n = 100000

manual implementation

2.3290000000	2.3250000000	2.3110000000	
2.2480000000	2.2240000000	2.1990000000	
2.4810000000	1.1170000000	2.2030000000	
1.9690000000	3.0450000000	0.7780000000	
2.9090000000	2.5140000000	2.8370000000	
3.2940000000	2.7950000000	2.8770000000	
3.8860000000	3.2180000000	3.2240000000	
5.0330000000	4.2910000000	4.4330000000	
8.7600000000	9.3680000000	9.4040000000	

optimized ReproBLAS implementation

0.0530000000	0.0450000000	0.0440000000	
0.0490000000	0.0460000000	0.0460000000	
0.0490000000	0.0470000000	0.0460000000	
0.1430000000	0.1250000000	0.1420000000	
0.3680000000	0.2770000000	0.2300000000	
0.6760000000	0.6980000000	0.5950000000	
1.3020000000	1.2710000000	1.1850000000	
2.9860000000	2.9050000000	2.7350000000	
4.7670000000	5.3240000000	6.2840000000	

n = 1000000

manual implementation

21.8940000000	21.5270000000	21.3330000000	
22.1430000000	21.5480000000	21.4640000000	
12.0520000000	11.4350000000	33.3500000000	
22.4280000000	21.9330000000	22.6530000000	
17.0610000000	14.7830000000	18.3140000000	
15.7660000000	22.3620000000	14.2560000000	
14.8310000000	14.3600000000	17.2800000000	
13.0650000000	16.1510000000	14.3400000000	
17.7770000000	20.9320000000	33.9830000000	

optimized ReproBLAS implementation

0.5820000000	0.5660000000	0.5060000000	
0.5010000000	0.4800000000	0.4840000000	
0.2680000000	0.2650000000	0.2720000000	
0.2780000000	0.2810000000	0.2640000000	
1.8080000000	0.3820000000	0.8010000000	
0.6230000000	0.7270000000	0.6620000000	
1.3850000000	1.2590000000	1.2180000000	
2.7250000000	2.7860000000	2.7510000000	
5.4870000000	5.2270000000	6.2430000000	

n = 10000000

manual implementation

243.5130000000	220.6210000000	215.0860000000	
214.5030000000	211.1070000000	212.6840000000	
115.6060000000	114.1730000000	112.9560000000	
